WordIndex,OriginalCode,RollupCode
177,250.50,PheCode:250.23
178,599.1,PheCode:597
179,749.13,PheCode:749
179,749.13,PheCode:749.1
180,524.55,PheCode:524
181,718.10,PheCode:742
181,718.10,PheCode:742.1
183,778.1,PheCode:656
183,778.1,PheCode:656.7
185,123.6,PheCode:134
185,123.6,PheCode:134.1
186,288.01,PheCode:288.1
186,288.01,PheCode:288.11
187,200.06,PheCode:202
187,200.06,PheCode:202.2
187,200.06,PheCode:202.22
188,288.50,PheCode:288.1
189,799.55,PheCode:292
191,525.24,PheCode:525
191,525.24,PheCode:525.2
192,339.44,PheCode:339
193,200.16,PheCode:202
193,200.16,PheCode:202.2
193,200.16,PheCode:202.23
194,315.00,PheCode:315.1
195,388.01,PheCode:389
195,388.01,PheCode:389.3
196,737.12,PheCode:737
196,737.12,PheCode:737.1
198,417.1,PheCode:415
200,015.90,PheCode:010
201,011.83,PheCode:010
202,032.3,PheCode:465
203,312.23,PheCode:312
204,944.20,PheCode:1000
205,780.31,PheCode:345
205,780.31,PheCode:345.3
206,363.34,PheCode:363
206,363.34,PheCode:363.3
207,232.7,PheCode:172
207,232.7,PheCode:172.3
208,296.10,PheCode:296
208,296.10,PheCode:296.1
209,131.01,PheCode:131
210,306.0,PheCode:303
210,306.0,PheCode:303.3
211,294.21,PheCode:290
211,294.21,PheCode:290.1
212,442.9,PheCode:442
213,049.9,PheCode:323
214,582.81,PheCode:580
214,582.81,PheCode:580.1
214,582.81,PheCode:580.14
215,906.4,PheCode:1006
217,995.59,PheCode:1015
218,618.03,PheCode:618
218,618.03,PheCode:618.1
220,V10.3,PheCode:174
220,V10.3,PheCode:174.1
220,V10.3,PheCode:174.11
221,728.10,PheCode:728.1
222,300.00,PheCode:300
222,300.00,PheCode:300.1
223,656.71,PheCode:655
224,943.10,PheCode:1000
225,170.0,PheCode:170
225,170.0,PheCode:170.1
226,564.2,PheCode:539
227,966.0,PheCode:966
229,776.7,PheCode:656
229,776.7,PheCode:656.5
230,209.43,PheCode:209
231,V09.91,PheCode:041
231,V09.91,PheCode:041.9
233,621.6,PheCode:619
233,621.6,PheCode:619.2
234,760.2,PheCode:658
235,821.20,PheCode:800
235,821.20,PheCode:800.2
236,524.76,PheCode:524
237,E934.2,PheCode:964
237,E934.2,PheCode:964.1
238,296.45,PheCode:296
238,296.45,PheCode:296.1
239,980.3,PheCode:981
240,211.1,PheCode:211
241,382.2,PheCode:381
241,382.2,PheCode:381.1
241,382.2,PheCode:381.11
242,673.34,PheCode:647.3
243,945.16,PheCode:1000
244,804.90,PheCode:819
247,097.0,PheCode:090
248,284.8,PheCode:284
249,295.81,PheCode:295
249,295.81,PheCode:295.1
251,770.82,PheCode:656
251,770.82,PheCode:656.2
251,770.82,PheCode:656.26
252,274.03,PheCode:274
252,274.03,PheCode:274.1
252,274.03,PheCode:274.11
253,388.42,PheCode:389
253,388.42,PheCode:389.5
254,668.22,PheCode:668
256,256.9,PheCode:256
259,056.71,PheCode:711
260,695.13,PheCode:695
260,695.13,PheCode:695.1
261,301.82,PheCode:301
262,015.93,PheCode:010
265,196.9,PheCode:198
265,196.9,PheCode:198.1
266,304.10,PheCode:316
267,966.2,PheCode:966
268,516.1,PheCode:504
269,478.74,PheCode:473
270,718.46,PheCode:739
271,766.21,PheCode:658
272,575.8,PheCode:575
272,575.8,PheCode:575.7
273,421.1,PheCode:420
273,421.1,PheCode:420.3
274,804.70,PheCode:819
275,282.62,PheCode:282
275,282.62,PheCode:282.5
276,675.11,PheCode:647
279,649.44,PheCode:649
280,593.5,PheCode:586
280,593.5,PheCode:586.4
281,312.30,PheCode:312
281,312.30,PheCode:312.3
283,414.01,PheCode:411
283,414.01,PheCode:411.4
284,995.53,PheCode:1015
285,995.93,PheCode:994
285,995.93,PheCode:994.1
286,851.59,PheCode:816
287,924.3,PheCode:916
288,706.0,PheCode:706
288,706.0,PheCode:706.1
289,312.81,PheCode:312
290,764.94,PheCode:637
291,078.19,PheCode:078
292,347.11,PheCode:347
295,238.71,PheCode:200
296,144.1,PheCode:145
296,144.1,PheCode:145.5
297,372.54,PheCode:372
298,717.7,PheCode:835
300,304.33,PheCode:316
301,941.14,PheCode:1000
302,802.37,PheCode:819
303,941.16,PheCode:1000
304,374.02,PheCode:374
304,374.02,PheCode:374.1
305,184.3,PheCode:184
305,184.3,PheCode:184.2
306,708.8,PheCode:947
307,015.05,PheCode:010
309,140.6,PheCode:145
309,140.6,PheCode:145.1
310,796.72,PheCode:153
310,796.72,PheCode:153.3
311,806.17,PheCode:805
312,077.1,PheCode:369
312,077.1,PheCode:369.2
313,569.5,PheCode:567
314,942.24,PheCode:1000
315,658.31,PheCode:653
316,737.19,PheCode:737
316,737.19,PheCode:737.1
317,249.11,PheCode:249
318,987.7,PheCode:987
319,137.4,PheCode:010
320,821.30,PheCode:800
320,821.30,PheCode:800.2
321,600.2,PheCode:600
322,780.57,PheCode:327.3
323,V13.03,PheCode:580
323,V13.03,PheCode:580.2
325,V14.9,PheCode:977
326,633.11,PheCode:634
326,633.11,PheCode:634.3
327,854.09,PheCode:819
328,774.39,PheCode:656
328,774.39,PheCode:656.8
329,223.1,PheCode:223
330,845.01,PheCode:840
330,845.01,PheCode:840.3
331,701.0,PheCode:701
331,701.0,PheCode:701.3
332,017.86,PheCode:010
333,098.14,PheCode:090
333,098.14,PheCode:090.2
336,337.01,PheCode:337
337,V74.8,PheCode:1010
338,941.25,PheCode:1000
340,070.43,PheCode:070
341,664.00,PheCode:665
342,785.59,PheCode:797
343,912.7,PheCode:910
344,333.1,PheCode:333
344,333.1,PheCode:333.1
345,389.15,PheCode:389
345,389.15,PheCode:389.1
346,091.52,PheCode:090
347,191.9,PheCode:191
347,191.9,PheCode:191.1
347,191.9,PheCode:191.11
348,521.01,PheCode:521
348,521.01,PheCode:521.1
349,948.55,PheCode:1000
350,716.81,PheCode:716
350,716.81,PheCode:716.9
352,719.35,PheCode:716
352,719.35,PheCode:716.8
353,321.4,PheCode:697
354,330.2,PheCode:331
355,511.9,PheCode:507
